chrom,promoter_start,promoter_end,structure_start,structure_end,score_or_strand
OX103943.1,7980194,7981194,7981105,7981134,.
OX103943.1,8238852,8239961,8239292,8239310,.
OX103943.1,8240146,8241146,8240251,8240271,.
OX103943.1,8301544,8302544,8301910,8301933,.
OX103943.1,8509615,8510615,8510587,8510613,.
OX103943.1,8916947,8917947,8917425,8917447,.
OX103943.1,9303148,9304148,9303408,9303439,.
OX103943.1,10046535,10047535,10047422,10047447,.
OX103943.1,10046535,10047535,10047531,10047555,.
OX103943.1,10075566,10076566,10075921,10075947,.
OX103943.1,10312979,10313979,10313155,10313178,.
OX103943.1,10497163,10498163,10497398,10497429,.
OX103943.1,10559881,10560980,10559892,10559908,.
OX103943.1,10993010,10994463,10994303,10994331,.
OX103943.1,11058990,11060710,11060462,11060478,.
OX103943.1,11179036,11180036,11179536,11179554,.
OX103943.1,11243487,11244487,11243954,11243981,.
OX103943.1,11414686,11415686,11415257,11415293,.
OX103943.1,12165925,12166925,12166486,12166506,.
OX103943.1,12245960,12246960,12246034,12246059,.
OX103943.1,12394509,12395509,12395352,12395372,.
OX103943.1,12427383,12428383,12427900,12427933,.
OX103943.1,12439780,12440780,12440120,12440144,.
OX103943.1,12527378,12528378,12528139,12528161,.
OX103943.1,12680564,12681564,12681286,12681304,.
OX103943.1,12823268,12824268,12823383,12823407,.
OX103943.1,12846862,12847862,12847745,12847765,.
OX103943.1,13389593,13390593,13390109,13390139,.
OX103943.1,13400114,13401164,13401075,13401107,.
OX103943.1,13630436,13631445,13630546,13630573,.
OX103943.1,13792690,13793690,13793672,13793690,.
OX103943.1,13959941,13960941,13959931,13959953,.
OX103943.1,14519194,14520194,14519924,14519942,.
OX103943.1,14926244,14927244,14926888,14926917,.
OX103943.1,15180554,15181554,15180979,15181006,.
OX103943.1,15387029,15388273,15387206,15387224,.
OX103943.1,15461576,15462576,15461687,15461714,.
OX103943.1,15906894,15907940,15907889,15907921,.
OX103943.1,16172567,16173567,16173369,16173393,.
OX103943.1,16776091,16777091,16776573,16776601,.
OX103943.1,17127353,17128353,17127388,17127408,.
OX103943.1,17362156,17363156,17363027,17363062,.
OX103943.1,17726507,17727507,17727113,17727140,.
OX103943.1,18010529,18011529,18011191,18011211,.
OX103943.1,18483636,18484636,18484473,18484499,.
OX103943.1,18483636,18484636,18484510,18484536,.
OX103943.1,18969302,18970302,18969728,18969756,.
OX103943.1,19036077,19037301,19036207,19036225,.
OX103943.1,19068262,19069262,19068362,19068378,.
OX103943.1,20373611,20374611,20374509,20374536,.
OX103943.1,20792603,20793603,20792970,20792988,.
OX103943.1,20792603,20793603,20793414,20793432,.
OX103943.1,21236984,21237984,21237789,21237819,.
OX103943.1,21411700,21412700,21412582,21412602,.
OX103943.1,21768337,21769337,21768591,21768618,.
OX103943.1,21899559,21900559,21899973,21900001,.
OX103943.1,22000364,22001364,22000401,22000428,.
OX103943.1,22306934,22308656,22307346,22307378,.
OX103943.1,22441465,22442465,22442257,22442288,.
OX103943.1,22641133,22642133,22641848,22641864,.
OX103943.1,22736565,22737565,22736786,22736806,.
OX103943.1,23038625,23039636,23039300,23039324,.
OX103943.1,23708315,23709315,23708699,23708721,.
OX103943.1,23854188,23855188,23854367,23854383,.
OX103943.1,24016992,24018044,24017152,24017178,.
OX103943.1,24207125,24208125,24207288,24207315,.
OX103943.1,24550300,24551300,24551251,24551275,.
OX103943.1,24571495,24572495,24571666,24571698,.
OX103943.1,24590342,24591342,24590563,24590587,.
OX103943.1,24660206,24661206,24660594,24660620,.
OX103943.1,24751173,24752173,24751153,24751182,.
OX103943.1,24751173,24752173,24751555,24751586,.
OX103943.1,24806859,24808414,24807276,24807308,.
OX103943.1,25379653,25380653,25380131,25380159,.
OX103943.1,25379653,25380653,25380568,25380590,.
OX103943.1,25384568,25385568,25384898,25384920,.
OX103943.1,25384568,25385568,25385430,25385463,.
OX103943.1,25384568,25385568,25385486,25385510,.
OX103943.1,25483406,25484406,25484097,25484121,.
OX103943.1,25921226,25922226,25921409,25921431,.
OX103943.1,26188522,26189522,26189168,26189196,.
OX103943.1,26799669,26800669,26800474,26800490,.
OX103943.1,27286297,27287297,27286829,27286845,.
OX103943.1,27580080,27581080,27580140,27580166,.
OX103943.1,28168589,28169598,28168906,28168936,.
OX103943.1,28326924,28327924,28327549,28327575,.
OX103943.1,28556020,28557020,28556652,28556678,.
OX103943.1,29417595,29418595,29418245,29418271,.
OX103943.1,29558526,29559526,29558786,29558807,.
OX103943.1,29575847,29576847,29575824,29575854,.
OX103943.1,29761556,29762556,29761570,29761597,.
OX103943.1,30195838,30196838,30195823,30195849,.
OX103943.1,30503209,30504209,30503653,30503671,.
OX103943.1,30602821,30603821,30603700,30603727,.
OX103943.1,30633915,30634915,30633900,30633916,.
OX103943.1,30816080,30817080,30816933,30816953,.
OX103943.1,30816080,30817080,30817009,30817025,.
OX103943.1,30949542,30950932,30949773,30949803,.
OX103943.1,31660615,31661618,31661300,31661327,.
OX103943.1,31702477,31703477,31702990,31703023,.
OX103943.1,32245570,32246570,32246172,32246192,.
OX103943.1,32287240,32288240,32287372,32287399,.
OX103943.1,32291942,32292942,32292524,32292550,.
OX103943.1,32778765,32779775,32779356,32779380,.
OX103943.1,33244013,33245013,33244038,33244067,.
OX103943.1,33258353,33259353,33258631,33258655,.
OX103943.1,33258353,33259353,33258866,33258882,.
OX103943.1,33295411,33296411,33295828,33295846,.
OX103943.1,33849209,33850227,33849268,33849295,.
OX103943.1,33905318,33906629,33905661,33905683,.
OX103943.1,34161684,34162684,34161905,34161935,.
OX103943.1,34277382,34278382,34277617,34277639,.
OX103943.1,34277382,34278382,34277711,34277729,.
OX103943.1,34284959,34285959,34285194,34285216,.
OX103943.1,34284959,34285959,34285288,34285306,.
OX103943.1,34344474,34345474,34344723,34344748,.
OX103943.1,34713529,34714529,34714230,34714259,.
OX103943.1,34766437,34767437,34766489,34766507,.
OX103943.1,34902670,34903670,34902660,34902691,.
OX103943.1,35101261,35102261,35101433,35101449,.
OX103943.1,35886532,35887532,35886686,35886708,.
OX103943.1,35911146,35912146,35911625,35911643,.
OX103943.1,36262280,36263295,36262593,36262611,.
OX103943.1,36298208,36300096,36298926,36298944,.
OX103943.1,36308612,36309612,36309054,36309082,.
OX103943.1,36308612,36309612,36309524,36309542,.
OX103943.1,36332191,36333213,36332428,36332454,.
OX103943.1,37286974,37287974,37287369,37287389,.
OX103943.1,37296695,37297695,37296700,37296716,.
OX103943.1,37651360,37652360,37652301,37652319,.
OX103943.1,37724971,37725971,37725164,37725186,.
OX103943.1,37753785,37755711,37753847,37753866,.
OX103943.1,37859330,37860330,37859578,37859602,.
OX103943.1,37859330,37860330,37859813,37859829,.
OX103943.1,37865201,37866260,37865515,37865533,.
OX103943.1,37897601,37898601,37897804,37897830,.
OX103943.1,38232155,38233338,38232445,38232471,.
OX103943.1,38232155,38233338,38233179,38233205,.
OX103943.1,38448548,38449548,38449066,38449104,.
OX103943.1,38522352,38523352,38522706,38522732,.
OX103943.1,38783578,38784578,38783916,38783932,.
OX103943.1,38966762,38967762,38967111,38967131,.
OX103943.1,39021597,39022597,39022173,39022197,.
OX103943.1,39067900,39068900,39068418,39068434,.
OX103943.1,39067900,39068900,39068511,39068527,.
OX103943.1,39232440,39233440,39233387,39233415,.
OX103943.1,39613638,39614638,39613838,39613864,.
OX103943.1,40707092,40708749,40707886,40707902,.
OX103943.1,41428562,41429585,41429172,41429200,.
OX103943.1,41520796,41521796,41520829,41520851,.
OX103943.1,42010966,42011966,42011918,42011948,.
OX103943.1,42917586,42918586,42917904,42917932,.
OX103943.1,42917586,42918586,42918362,42918380,.
OX103943.1,43018672,43019672,43018658,43018685,.
OX103943.1,43138097,43139097,43138855,43138884,.
OX103943.1,43191493,43192688,43192300,43192326,.
OX103943.1,43290595,43292266,43291017,43291045,.
OX103943.1,43445489,43446489,43446048,43446072,.
OX103943.1,43946304,43947304,43946865,43946892,.
OX103943.1,43946304,43947304,43947048,43947064,.
OX103943.1,44089290,44090290,44090258,44090285,.
OX103943.1,44236117,44237117,44236166,44236198,.
OX103943.1,44387914,44388914,44388624,44388657,.
OX103943.1,44716150,44717150,44717146,44717180,.
OX103943.1,45512850,45514646,45513199,45513231,.
OX103943.1,46688046,46689046,46688821,46688856,.
OX103943.1,46688046,46689046,46688903,46688928,.
OX103943.1,46738918,46739918,46739896,46739922,.
OX103943.1,47250681,47251681,47250985,47251009,.
OX103943.1,47820350,47821350,47821248,47821275,.
OX103943.1,47915231,47916565,47916025,47916055,.
OX103943.1,48155520,48156520,48156192,48156227,.
OX103943.1,48215676,48216676,48216658,48216674,.
OX103943.1,48260727,48261727,48260977,48261001,.
OX103943.1,48260727,48261727,48261265,48261285,.
OX103943.1,49093131,49094131,49093716,49093742,.
OX103943.1,49107046,49108046,49107194,49107215,.
OX103943.1,49200249,49201249,49201106,49201126,.
OX103943.1,49298619,49299619,49298863,49298896,.
OX103943.1,49955207,49956207,49955641,49955670,.
OX103943.1,50293386,50294386,50294058,50294082,.
OX103943.1,50889382,50890382,50889691,50889711,.
OX103943.1,50930013,50931013,50930912,50930928,.
OX103943.1,51007108,51008108,51007691,51007721,.
OX103943.1,51007108,51008108,51007809,51007833,.
OX103943.1,51257398,51258454,51258452,51258470,.
OX103943.1,51264993,51265993,51265108,51265132,.
OX103943.1,51417006,51418006,51417501,51417517,.
OX103943.1,51761321,51762321,51762011,51762038,.
OX103943.1,51787559,51788559,51788231,51788258,.
OX103943.1,51822661,51823677,51823374,51823400,.
OX103943.1,51901339,51902339,51901858,51901882,.
OX103943.1,52003693,52004693,52003771,52003802,.
OX103943.1,52344328,52345328,52344417,52344445,.
OX103943.1,52628638,52629638,52629546,52629576,.
OX103943.1,52652429,52653429,52652628,52652656,.
OX103943.1,53351727,53352727,53352378,53352400,.
OX103943.1,53438423,53439425,53439081,53439105,.
OX103943.1,53600308,53601308,53600808,53600825,.
OX103943.1,54001043,54003037,54002082,54002113,.
OX103943.1,54001043,54003037,54002848,54002876,.
OX103943.1,54133470,54135224,54134232,54134250,.
OX103943.1,54344768,54345768,54345400,54345424,.
OX103943.1,54346325,54347325,54346957,54346977,.
OX103943.1,55106206,55107206,55106915,55106944,.
OX103943.1,55251243,55252243,55251836,55251854,.
OX103943.1,55661668,55662668,55662629,55662657,.
OX103943.1,55765409,55766409,55765461,55765491,.
OX103943.1,55994015,55995291,55994643,55994669,.
OX103943.1,55994015,55995291,55994690,55994716,.
OX103943.1,56031386,56032386,56031580,56031610,.
OX103943.1,56186204,56187204,56187099,56187115,.
OX103943.1,56448468,56449468,56448921,56448948,.
OX103943.1,58148879,58149879,58149698,58149732,.
OX103943.1,58924639,58925639,58925521,58925545,.
OX103943.1,59288332,59289332,59288440,59288462,.
OX103943.1,59544977,59545977,59545865,59545883,.
OX103943.1,59671593,59672593,59672576,59672600,.
OX103943.1,59883446,59884446,59884332,59884359,.
OX103943.1,60326861,60327861,60327769,60327793,.
OX103943.1,60391083,60392083,60391762,60391785,.
OX103943.1,60542474,60543502,60542719,60542745,.
OX103943.1,61540879,61541879,61541337,61541355,.
OX103943.1,61576954,61578618,61577691,61577715,.
OX103943.1,61845171,61846505,61845941,61845972,.
OX103943.1,61902502,61903502,61902781,61902805,.
OX103943.1,62047859,62048859,62048240,62048268,.
OX103943.1,62507729,62508729,62508725,62508756,.
OX103943.1,62862868,62863868,62863457,62863481,.
OX103943.1,62928256,62929256,62928924,62928948,.
OX103943.1,63115676,63116676,63116185,63116210,.
OX103943.1,63207452,63208452,63207890,63207918,.
OX103943.1,63693388,63694388,63693860,63693886,.
OX103943.1,63764384,63765384,63764565,63764593,.
OX103943.1,63981772,63982772,63982517,63982543,.
OX103943.1,64564536,64565543,64564664,64564682,.
OX103943.1,65069995,65070995,65070181,65070206,.
OX103943.1,65115640,65116640,65115925,65115945,.
OX103943.1,65457073,65458073,65457933,65457962,.
OX103943.1,65478124,65479124,65478401,65478426,.
OX103943.1,65549942,65550942,65550935,65550953,.
OX103943.1,65735680,65736680,65736137,65736159,.
OX103943.1,65908432,65909432,65908704,65908737,.
OX103943.1,66183460,66184460,66183656,66183672,.
OX103943.1,66237064,66238064,66237647,66237678,.
OX103943.1,67173135,67174135,67173870,67173890,.
OX103943.1,67318982,67319982,67319765,67319797,.
OX103943.1,67997794,67998794,67998294,67998328,.
OX103943.1,68610291,68611291,68610824,68610848,.
OX103943.1,68624010,68625010,68624583,68624608,.
OX103943.1,68818538,68819678,68818572,68818600,.
OX103943.1,68935919,68936919,68936796,68936820,.
OX103943.1,69011544,69012544,69011840,69011856,.
OX103943.1,69059363,69060363,69059690,69059717,.
OX103943.1,69435486,69436486,69436271,69436287,.
OX103943.1,69556906,69557906,69557472,69557500,.
OX103943.1,70187150,70188150,70187922,70187941,.
OX103943.1,70367123,70368123,70367435,70367476,.
OX103943.1,70434640,70435640,70435258,70435284,.
OX103943.1,70691896,70692896,70692696,70692734,.
OX103943.1,70754759,70755759,70755745,70755769,.
OX103943.1,70767129,70768129,70767986,70768004,.
OX103943.1,71084723,71085723,71085143,71085159,.
OX103943.1,72307728,72308728,72307936,72307963,.
OX103943.1,72543760,72544760,72544440,72544458,.
OX103943.1,72930233,72931233,72930376,72930400,.
OX103943.1,72945009,72946162,72945969,72945987,.
OX103943.1,73449307,73450307,73449979,73450014,.
OX103943.1,73808333,73809333,73808653,73808669,.
OX103943.1,73920855,73921901,73920952,73920972,.
OX103943.1,74048506,74049506,74049030,74049058,.
OX103943.1,74139240,74140240,74139863,74139889,.
OX103943.1,74378182,74379182,74379127,74379154,.
OX103943.1,74413715,74414715,74414231,74414249,.
OX103943.1,74763728,74764728,74763983,74764014,.
OX103943.1,74885373,74886402,74885724,74885751,.
OX103943.1,74885373,74886402,74885773,74885805,.
OX103943.1,74885373,74886402,74886209,74886242,.
OX103943.1,74940692,74941692,74941583,74941601,.
OX103943.1,75511700,75512884,75512012,75512036,.
OX103943.1,75561723,75562723,75562560,75562588,.
OX103943.1,75942865,75943865,75943593,75943615,.
OX103943.1,75970233,75971233,75970217,75970245,.
OX103943.1,76012560,76013560,76013240,76013267,.
OX103943.1,76261808,76262808,76262509,76262540,.
OX103943.1,76465076,76466076,76465600,76465631,.
OX103943.1,76537768,76538768,76538069,76538101,.
OX103943.1,76793222,76794222,76794054,76794070,.
OX103943.1,77331951,77332951,77332651,77332667,.
OX103943.1,77358374,77359374,77359016,77359047,.
OX103943.1,77712332,77713332,77713146,77713174,.
OX103943.1,77859272,77860272,77859587,77859613,.
OX103943.1,78051915,78052915,78052259,78052277,.
OX103943.1,78056771,78057771,78057601,78057627,.
OX103943.1,78066376,78067376,78066561,78066589,.
OX103943.1,78456757,78457757,78457278,78457305,.
OX103943.1,78521864,78523713,78521987,78522014,.
OX103943.1,78521864,78523713,78522269,78522306,.
OX103943.1,79021448,79022448,79021598,79021627,.
OX103943.1,79584121,79585121,79584985,79585001,.
OX103943.1,79633440,79634700,79634495,79634524,.
OX103943.1,80598226,80599396,80598303,80598329,.
OX103943.1,80598226,80599396,80598806,80598836,.
OX103943.1,80679702,80680715,80680502,80680528,.
OX103943.1,80736656,80737833,80737795,80737823,.
OX103943.1,80750533,80751533,80751116,80751136,.
OX103943.1,81049572,81050572,81049749,81049773,.
OX103943.1,81498668,81499668,81498651,81498678,.
OX103943.1,81846895,81847895,81847783,81847807,.
OX103943.1,82043536,82044558,82044390,82044406,.
OX103943.1,82512678,82513678,82513670,82513696,.
OX103943.1,82755947,82756947,82756567,82756598,.
OX103943.1,83032861,83033861,83033571,83033602,.
OX103943.1,83175569,83176569,83176475,83176503,.
OX103943.1,83187150,83188150,83187341,83187369,.
OX103943.1,83587294,83588294,83588079,83588108,.
OX103943.1,83647128,83648128,83647117,83647142,.
OX103943.1,83647128,83648128,83648046,83648081,.
OX103943.1,84154224,84155224,84154901,84154917,.
OX103943.1,84154224,84155224,84155146,84155170,.
OX103943.1,84462338,84463338,84462396,84462423,.
OX103943.1,84489603,84490603,84490361,84490387,.
OX103943.1,84513067,84514067,84513790,84513817,.
OX103943.1,84531756,84532756,84532021,84532048,.
OX103943.1,84668692,84669692,84668737,84668770,.
OX103943.1,84668692,84669692,84668808,84668841,.
OX103943.1,84939501,84940501,84940300,84940323,.
OX103943.1,84960643,84961643,84960864,84960890,.
OX103943.1,84960643,84961643,84961281,84961297,.
OX103943.1,84982311,84983311,84982319,84982351,.
OX103943.1,85012200,85013200,85012370,85012404,.
OX103943.1,85168477,85169798,85168701,85168717,.
OX103943.1,85305122,85306122,85305370,85305399,.
OX103943.1,85305122,85306122,85305417,85305470,.
OX103943.1,85363795,85364795,85364156,85364177,.
OX103943.1,85363795,85364795,85364471,85364501,.
OX103943.1,85420271,85421271,85421006,85421049,.
OX103943.1,85441893,85442893,85442138,85442168,.
OX103943.1,85523858,85524858,85524853,85524886,.
OX103943.1,85748261,85749963,85749054,85749087,.
OX103943.1,85881366,85882366,85881671,85881703,.
OX103943.1,85881366,85882366,85881788,85881818,.
OX103943.1,85911371,85912371,85911618,85911640,.
OX103943.1,85932816,85933816,85933063,85933085,.
OX103943.1,86039594,86040594,86040291,86040307,.
OX103943.1,86399802,86400802,86400352,86400387,.
OX103943.1,86525656,86526656,86525788,86525814,.
OX103943.1,86579697,86580697,86580437,86580463,.
OX103943.1,86697532,86698532,86697672,86697706,.
OX103943.1,87192666,87193666,87193119,87193149,.
OX103943.1,87268969,87270111,87269650,87269682,.
OX103943.1,87365874,87366874,87366414,87366430,.
OX103943.1,87697899,87698899,87698816,87698842,.
OX103943.1,87829389,87830389,87829901,87829921,.
OX103943.1,88040403,88041403,88040509,88040552,.
OX103943.1,88040403,88041403,88041260,88041282,.
OX103943.1,88094006,88095006,88094690,88094721,.
OX103943.1,88195045,88196049,88195235,88195261,.
OX103944.1,167844,168844,167821,167847,.
OX103944.1,215686,216686,216096,216157,.
OX103944.1,871988,872988,872783,872801,.
OX103944.1,896578,897578,896634,896661,.
OX103944.1,896578,897578,897073,897093,.
OX103944.1,896578,897578,897185,897207,.
OX103944.1,896578,897578,897268,897298,.
OX103944.1,912220,913220,913092,913126,.
OX103944.1,1581274,1582274,1581410,1581435,.
OX103944.1,1581274,1582274,1582082,1582129,.
OX103944.1,1607587,1608587,1607598,1607623,.
OX103944.1,1654355,1655355,1655119,1655145,.
OX103944.1,1978130,1979130,1979078,1979118,.
OX103944.1,1991509,1992509,1991762,1991788,.
OX103944.1,2400404,2401404,2400724,2400756,.
OX103944.1,2417345,2418345,2418245,2418280,.
OX103944.1,2486120,2487120,2487072,2487092,.
OX103944.1,2870292,2871292,2871285,2871313,.
OX103944.1,2938530,2940016,2938962,2938988,.
OX103944.1,2938530,2940016,2939652,2939679,.
OX103944.1,3206305,3207305,3206762,3206782,.
OX103944.1,3273581,3274581,3273640,3273667,.
OX103944.1,3696503,3697503,3696806,3696828,.
OX103944.1,3785094,3786094,3785707,3785723,.
OX103944.1,3898442,3899442,3898796,3898812,.
OX103944.1,3979406,3980406,3979932,3979964,.
OX103944.1,4124490,4125490,4124831,4124863,.
OX103944.1,4185125,4186125,4185488,4185514,.
OX103944.1,4737332,4738332,4738167,4738195,.
OX103944.1,4952838,4954347,4952998,4953014,.
OX103944.1,5114535,5115535,5115397,5115413,.
OX103944.1,5739712,5740712,5740013,5740048,.
OX103944.1,5785884,5786884,5786622,5786646,.
OX103944.1,5998709,5999709,5999586,5999613,.
OX103944.1,6340789,6341789,6341258,6341274,.
OX103944.1,6696059,6697059,6696729,6696755,.
OX103944.1,6804836,6805836,6804906,6804928,.
OX103944.1,6897029,6898029,6897587,6897605,.
OX103944.1,6941897,6942897,6942869,6942889,.
OX103944.1,7203575,7204575,7204252,7204283,.
OX103944.1,7836767,7837767,7836915,7836931,.
OX103944.1,7959959,7961476,7960411,7960444,.
OX103944.1,8968607,8969607,8968795,8968817,.
OX103944.1,9091636,9092636,9092529,9092555,.
OX103944.1,9098290,9099290,9098650,9098678,.
OX103944.1,9422070,9423231,9422627,9422658,.
OX103944.1,9980243,9981974,9980478,9980508,.
OX103944.1,10092005,10093005,10092734,10092760,.
OX103944.1,10265153,10266153,10265534,10265565,.
OX103944.1,10356566,10357566,10357502,10357541,.
OX103944.1,10794025,10795025,10794809,10794835,.
OX103944.1,10913710,10914710,10914530,10914546,.
OX103944.1,11087078,11088078,11088022,11088048,.
OX103944.1,11180375,11181375,11180664,11180696,.
OX103944.1,11392453,11393453,11393313,11393340,.
OX103944.1,11392453,11393453,11393350,11393378,.
OX103944.1,12555328,12556328,12555866,12555882,.
OX103944.1,12817073,12818073,12817223,12817255,.
OX103944.1,12946830,12947830,12946894,12946920,.
OX103944.1,13328342,13329342,13329273,13329302,.
OX103944.1,13518552,13519552,13518974,13519005,.
OX103944.1,14049034,14050034,14049841,14049857,.
OX103944.1,16267098,16268098,16268057,16268085,.
OX103944.1,16504834,16505834,16505747,16505774,.
OX103944.1,16536320,16537320,16536498,16536528,.
OX103944.1,16741362,16743091,16741643,16741664,.
OX103944.1,17296446,17297446,17296446,17296472,.
OX103944.1,17463148,17464148,17463441,17463467,.
OX103944.1,17651068,17652068,17651987,17652013,.
OX103944.1,18429250,18430250,18429877,18429905,.
OX103944.1,18796528,18797528,18797218,18797249,.
OX103944.1,19312395,19313395,19312759,19312783,.
OX103944.1,19791716,19792780,19792688,19792709,.
OX103944.1,19976958,19977958,19977771,19977800,.
OX103944.1,20326960,20327960,20327668,20327702,.
OX103944.1,20326960,20327960,20327716,20327747,.
OX103944.1,20326960,20327960,20327781,20327806,.
OX103944.1,20591920,20592920,20592767,20592795,.
OX103944.1,20994656,20995656,20995363,20995389,.
OX103944.1,21209309,21210533,21210257,21210279,.
OX103944.1,21685318,21686318,21685372,21685409,.
OX103944.1,21685318,21686318,21686301,21686329,.
OX103944.1,22529172,22530172,22529536,22529562,.
OX103944.1,22704692,22705699,22705558,22705578,.
OX103944.1,22892428,22893428,22892644,22892671,.
OX103944.1,22963294,22964294,22963630,22963656,.
OX103944.1,23292846,23293846,23292961,23292979,.
OX103944.1,23473410,23474410,23474180,23474196,.
OX103944.1,23473410,23474410,23474405,23474421,.
OX103944.1,23539835,23540946,23540523,23540540,.
OX103944.1,23539835,23540946,23540793,23540818,.
OX103944.1,23830196,23831679,23831497,23831523,.
OX103944.1,23990463,23991642,23991108,23991130,.
OX103944.1,24380459,24381459,24380833,24380849,.
OX103944.1,24380459,24381459,24381258,24381285,.
OX103944.1,24428550,24429550,24428606,24428632,.
OX103944.1,24714521,24715689,24715565,24715591,.
OX103944.1,24846402,24847402,24846713,24846737,.
OX103944.1,25055927,25056927,25056742,25056768,.
OX103944.1,25192470,25193470,25192979,25193010,.
OX103944.1,25914205,25915205,25914456,25914480,.
OX103944.1,25947436,25948436,25947713,25947737,.
OX103944.1,26068935,26070241,26069631,26069655,.
OX103944.1,26386341,26387341,26387335,26387353,.
OX103944.1,26430628,26431628,26431061,26431077,.
OX103944.1,26587789,26588789,26588521,26588548,.
OX103944.1,26653521,26654521,26653873,26653895,.
OX103944.1,26824700,26825700,26825010,26825039,.
OX103944.1,26872528,26873528,26872833,26872857,.
OX103944.1,26872528,26873528,26873510,26873530,.
OX103944.1,26990449,26991449,26991003,26991037,.
OX103944.1,27523734,27524734,27523852,27523876,.
OX103944.1,27692431,27693431,27693048,27693068,.
OX103944.1,27791556,27792556,27791719,27791752,.
OX103944.1,27791556,27792556,27791837,27791859,.
OX103944.1,27794179,27795179,27794339,27794366,.
OX103944.1,28918914,28919914,28919051,28919067,.
OX103944.1,29081993,29082993,29082448,29082470,.
OX103944.1,29380490,29381544,29380877,29380914,.
OX103944.1,29971893,29972893,29972444,29972461,.
OX103944.1,30025472,30026472,30025623,30025639,.
OX103944.1,30554186,30555186,30554691,30554707,.
OX103944.1,30786225,30787225,30787039,30787069,.
OX103944.1,30786225,30787225,30787195,30787219,.
OX103944.1,30788060,30789060,30788874,30788904,.
OX103944.1,30788060,30789060,30789030,30789054,.
OX103944.1,30793585,30794585,30794399,30794429,.
OX103944.1,30793585,30794585,30794555,30794579,.
OX103944.1,30795424,30796424,30796238,30796268,.
OX103944.1,30795424,30796424,30796394,30796418,.
OX103944.1,30799120,30800120,30799934,30799964,.
OX103944.1,30799120,30800120,30800090,30800114,.
